ticket_id,customer_id,created_date,severity,status,topic,reopened,resolution_hours,ticket_text
TICK-00091,CUST-0014,2026-07-03,P2,Resolved,API authentication,False,15.12,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00092,CUST-0014,2026-05-28,P2,Resolved,billing question,False,10.49,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00093,CUST-0014,2026-04-14,P3,Open,reporting latency,False,6.52,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00094,CUST-0015,2026-03-04,P3,Resolved,workflow configuration,False,8.68,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00095,CUST-0016,2026-04-22,P2,Open,API authentication,False,10.8,Customer reported an issue involving API authentication. Current status is Open.
TICK-00096,CUST-0016,2026-07-16,P2,Resolved,reporting latency,False,6.57,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00097,CUST-0016,2026-02-09,P2,Resolved,workflow configuration,False,12.59,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00098,CUST-0017,2026-06-11,P3,Open,billing question,False,11.99,Customer reported an issue involving billing question. Current status is Open.
TICK-00099,CUST-0018,2026-02-17,P3,Resolved,reporting latency,False,3.43,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00100,CUST-0018,2026-03-14,P3,Resolved,dashboard permissions,False,7.04,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00101,CUST-0018,2026-05-03,P2,Resolved,data export,False,6.81,Customer reported an issue involving data export. Current status is Resolved.
TICK-00102,CUST-0018,2026-02-18,P2,Resolved,workflow configuration,False,2.87,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00103,CUST-0018,2026-05-18,P2,Open,reporting latency,False,9.67,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00104,CUST-0018,2026-02-23,P3,Resolved,reporting latency,False,3.61,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00105,CUST-0018,2026-04-08,P3,Resolved,API authentication,False,11.03,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00106,CUST-0018,2026-06-23,P3,Resolved,billing question,False,13.8,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00107,CUST-0019,2026-06-03,P3,Resolved,reporting latency,False,12.62,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00108,CUST-0019,2026-03-12,P3,Open,user provisioning,False,6.52,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00109,CUST-0019,2026-07-13,P2,Resolved,workflow configuration,False,12.72,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00110,CUST-0019,2026-06-07,P3,Open,billing question,False,11.76,Customer reported an issue involving billing question. Current status is Open.
TICK-00111,CUST-0020,2026-02-11,P3,Open,API authentication,False,4.92,Customer reported an issue involving API authentication. Current status is Open.
TICK-00112,CUST-0020,2026-06-30,P2,Resolved,user provisioning,False,11.83,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00113,CUST-0021,2026-06-11,P3,Resolved,reporting latency,False,4.13,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00114,CUST-0021,2026-02-02,P1,Resolved,user provisioning,False,9.79,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00115,CUST-0021,2026-06-11,P2,Resolved,dashboard permissions,False,4.82,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00116,CUST-0021,2026-07-06,P2,Resolved,reporting latency,False,6.58,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00117,CUST-0021,2026-04-08,P2,Resolved,billing question,False,6.0,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00118,CUST-0021,2026-02-08,P2,Open,billing question,False,11.41,Customer reported an issue involving billing question. Current status is Open.
TICK-00119,CUST-0022,2026-03-25,P3,Resolved,API authentication,False,7.42,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00120,CUST-0022,2026-02-28,P3,Resolved,dashboard permissions,False,9.98,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00121,CUST-0022,2026-04-18,P3,Open,dashboard permissions,False,6.25,Customer reported an issue involving dashboard permissions. Current status is Open.
TICK-00122,CUST-0022,2026-05-30,P3,Open,billing question,False,5.22,Customer reported an issue involving billing question. Current status is Open.
TICK-00123,CUST-0022,2026-04-06,P3,Open,API authentication,False,6.34,Customer reported an issue involving API authentication. Current status is Open.
TICK-00124,CUST-0022,2026-03-28,P3,Resolved,reporting latency,False,8.99,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00125,CUST-0022,2026-05-11,P2,Resolved,data export,False,10.43,Customer reported an issue involving data export. Current status is Resolved.
TICK-00126,CUST-0023,2026-06-06,P2,Open,workflow configuration,False,5.99,Customer reported an issue involving workflow configuration. Current status is Open.
TICK-00127,CUST-0023,2026-07-21,P3,Resolved,workflow configuration,False,3.5,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00128,CUST-0023,2026-02-01,P3,Open,API authentication,False,14.0,Customer reported an issue involving API authentication. Current status is Open.
TICK-00129,CUST-0024,2026-02-01,P2,Resolved,data export,False,12.2,Customer reported an issue involving data export. Current status is Resolved.
TICK-00130,CUST-0024,2026-03-13,P3,Resolved,user provisioning,False,5.01,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00131,CUST-0024,2026-03-21,P2,Open,user provisioning,False,3.07,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00132,CUST-0024,2026-05-18,P3,Resolved,dashboard permissions,False,2.49,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00133,CUST-0024,2026-03-03,P2,Resolved,user provisioning,False,8.4,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00134,CUST-0025,2026-03-03,P3,Resolved,reporting latency,False,2.2,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00135,CUST-0025,2026-02-23,P3,Resolved,dashboard permissions,False,14.41,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00136,CUST-0025,2026-07-28,P1,Resolved,user provisioning,False,2.32,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00137,CUST-0025,2026-06-25,P2,Resolved,billing question,False,11.69,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00138,CUST-0026,2026-02-17,P2,Open,data export,False,2.42,Customer reported an issue involving data export. Current status is Open.
TICK-00139,CUST-0026,2026-06-08,P2,Resolved,data export,False,4.45,Customer reported an issue involving data export. Current status is Resolved.
TICK-00140,CUST-0026,2026-02-04,P1,Resolved,billing question,False,2.88,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00141,CUST-0026,2026-04-13,P2,Open,data export,False,4.84,Customer reported an issue involving data export. Current status is Open.
TICK-00142,CUST-0027,2026-02-07,P2,Resolved,reporting latency,False,11.66,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00143,CUST-0027,2026-02-01,P3,Open,dashboard permissions,False,14.0,Customer reported an issue involving dashboard permissions. Current status is Open.
TICK-00144,CUST-0027,2026-06-24,P2,Resolved,billing question,False,13.88,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00145,CUST-0027,2026-02-13,P2,Resolved,API authentication,False,10.37,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00146,CUST-0027,2026-05-28,P2,Open,reporting latency,False,7.23,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00147,CUST-0028,2026-06-22,P1,Resolved,user provisioning,False,12.29,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00148,CUST-0028,2026-04-30,P2,Resolved,workflow configuration,False,7.62,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00149,CUST-0028,2026-05-31,P2,Resolved,reporting latency,False,13.4,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00150,CUST-0028,2026-06-07,P1,Resolved,user provisioning,False,15.46,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00151,CUST-0028,2026-02-23,P1,Resolved,reporting latency,False,6.66,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00152,CUST-0028,2026-05-03,P2,Resolved,dashboard permissions,False,9.55,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00153,CUST-0029,2026-02-11,P2,Open,dashboard permissions,False,15.76,Customer reported an issue involving dashboard permissions. Current status is Open.
TICK-00154,CUST-0029,2026-03-10,P1,Resolved,workflow configuration,False,10.86,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00155,CUST-0029,2026-03-13,P1,Resolved,dashboard permissions,False,13.09,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00156,CUST-0030,2026-02-21,P2,Resolved,workflow configuration,False,9.62,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00157,CUST-0030,2026-06-14,P3,Open,API authentication,False,5.57,Customer reported an issue involving API authentication. Current status is Open.
TICK-00158,CUST-0030,2026-06-21,P3,Open,reporting latency,False,11.58,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00159,CUST-0030,2026-04-27,P2,Resolved,user provisioning,False,12.25,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00160,CUST-0030,2026-05-07,P1,Resolved,workflow configuration,False,11.2,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00161,CUST-0030,2026-05-12,P3,Open,user provisioning,False,12.5,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00162,CUST-0030,2026-07-27,P3,Resolved,billing question,False,11.01,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00163,CUST-0031,2026-07-28,P3,Open,API authentication,False,14.5,Customer reported an issue involving API authentication. Current status is Open.
TICK-00164,CUST-0031,2026-06-10,P3,Resolved,reporting latency,False,14.82,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00165,CUST-0031,2026-07-28,P2,Resolved,dashboard permissions,False,7.69,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00166,CUST-0032,2026-06-19,P3,Resolved,API authentication,False,2.23,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00167,CUST-0032,2026-04-17,P3,Resolved,reporting latency,False,13.59,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00168,CUST-0032,2026-07-25,P3,Resolved,user provisioning,False,8.34,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00169,CUST-0032,2026-03-03,P2,Resolved,billing question,False,7.64,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00170,CUST-0033,2026-04-29,P2,Resolved,reporting latency,False,6.25,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00171,CUST-0033,2026-07-09,P1,Resolved,billing question,False,10.61,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00172,CUST-0033,2026-02-11,P2,Resolved,data export,False,6.47,Customer reported an issue involving data export. Current status is Resolved.
TICK-00173,CUST-0033,2026-02-08,P2,Open,data export,False,14.06,Customer reported an issue involving data export. Current status is Open.
TICK-00174,CUST-0033,2026-05-10,P1,Resolved,data export,False,11.64,Customer reported an issue involving data export. Current status is Resolved.
TICK-00175,CUST-0034,2026-07-26,P2,Resolved,data export,False,2.54,Customer reported an issue involving data export. Current status is Resolved.
TICK-00176,CUST-0034,2026-06-05,P3,Resolved,user provisioning,False,9.61,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00177,CUST-0034,2026-02-22,P3,Open,dashboard permissions,False,12.02,Customer reported an issue involving dashboard permissions. Current status is Open.
TICK-00178,CUST-0034,2026-02-25,P2,Resolved,billing question,False,6.72,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00179,CUST-0034,2026-07-05,P2,Resolved,user provisioning,False,6.34,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00180,CUST-0034,2026-07-31,P2,Resolved,workflow configuration,False,7.75,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00181,CUST-0035,2026-07-26,P3,Open,dashboard permissions,False,11.45,Customer reported an issue involving dashboard permissions. Current status is Open.
TICK-00182,CUST-0036,2026-06-10,P2,Resolved,workflow configuration,False,4.54,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00183,CUST-0037,2026-07-29,P1,Resolved,dashboard permissions,False,14.95,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00184,CUST-0037,2026-07-18,P3,Resolved,workflow configuration,False,3.65,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00185,CUST-0037,2026-06-13,P2,Resolved,data export,False,6.11,Customer reported an issue involving data export. Current status is Resolved.
TICK-00186,CUST-0037,2026-03-14,P3,Resolved,workflow configuration,False,6.64,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00187,CUST-0037,2026-03-01,P3,Resolved,reporting latency,False,8.75,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00188,CUST-0038,2026-02-02,P2,Open,dashboard permissions,False,11.15,Customer reported an issue involving dashboard permissions. Current status is Open.
TICK-00189,CUST-0038,2026-03-18,P2,Resolved,user provisioning,False,4.56,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00190,CUST-0038,2026-04-29,P1,Resolved,reporting latency,False,11.99,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00191,CUST-0038,2026-07-30,P3,Resolved,reporting latency,False,3.95,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00192,CUST-0039,2026-05-24,P2,Resolved,dashboard permissions,False,11.78,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00193,CUST-0040,2026-06-15,P2,Open,workflow configuration,False,3.49,Customer reported an issue involving workflow configuration. Current status is Open.
TICK-00194,CUST-0041,2026-02-09,P2,Resolved,workflow configuration,False,11.83,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00195,CUST-0041,2026-02-18,P3,Resolved,user provisioning,False,14.29,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00196,CUST-0041,2026-07-21,P2,Resolved,data export,False,9.1,Customer reported an issue involving data export. Current status is Resolved.
TICK-00197,CUST-0041,2026-04-04,P3,Resolved,API authentication,False,4.27,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00198,CUST-0041,2026-06-27,P3,Open,reporting latency,False,8.25,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00199,CUST-0041,2026-06-20,P2,Open,user provisioning,False,8.69,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00200,CUST-0041,2026-07-19,P3,Open,data export,False,3.62,Customer reported an issue involving data export. Current status is Open.
TICK-00201,CUST-0041,2026-02-11,P3,Resolved,reporting latency,False,6.2,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00202,CUST-0042,2026-02-03,P2,Resolved,workflow configuration,False,13.03,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00203,CUST-0042,2026-03-01,P1,Open,user provisioning,False,10.2,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00204,CUST-0042,2026-02-03,P2,Resolved,user provisioning,False,14.89,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00205,CUST-0042,2026-06-03,P3,Resolved,billing question,False,8.65,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00206,CUST-0042,2026-06-03,P3,Resolved,reporting latency,False,7.43,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00207,CUST-0042,2026-07-13,P1,Resolved,reporting latency,False,11.34,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00208,CUST-0042,2026-06-11,P3,Resolved,data export,False,9.19,Customer reported an issue involving data export. Current status is Resolved.
TICK-00209,CUST-0043,2026-04-05,P1,Escalated,data export,True,6.18,Customer reported an issue involving data export. Current status is Escalated.
TICK-00210,CUST-0043,2026-05-22,P1,Open,billing question,False,52.85,Customer reported an issue involving billing question. Current status is Open.
TICK-00211,CUST-0043,2026-05-07,P1,Resolved,reporting latency,False,35.56,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00212,CUST-0043,2026-06-11,P1,Open,reporting latency,False,43.93,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00213,CUST-0043,2026-04-15,P2,Escalated,API authentication,True,41.32,Customer reported an issue involving API authentication. Current status is Escalated.
TICK-00214,CUST-0043,2026-07-31,P1,Escalated,user provisioning,True,34.52,Customer reported an issue involving user provisioning. Current status is Escalated.
